Mouse,GKD219,GKD310_1,GKD310_2,GKD310,GKD348,GKD176,GKD180,GKD184,GKD138,GKD139,GKD175,GKD035,GKD036_1,GKD036_2,GKD036,GKD073
main_Pons_PRNc,20.3783542,15.95742794,16.24242424,16.09992609,15.47457627,17.07843137,17.15343915,16.40881963,17.45080645,17.64814815,18,17.96774194,18.4516129,16.18391393,17.31776342,18.92727273
main_Pons_PRNr,19.72777778,15.67741935,15.72340426,15.70041181,15.15151515,17.51282051,16.97142857,16.41176471,17.43405797,17.40909091,16.40097856,17.77272727,19.71428571,16.35714286,18.03571429,20.5
main_Pons_SOC,20.50862069,17.78125,17.5,17.640625,17.48684211,,21.87627551,18.5,18.87878788,18.92318841,20.11764706,20.17647059,21,19,20,21.13333333
main_Pons_V,,17.30434783,17.2962963,17.30032206,15.51714286,17.27333333,16.79044684,16.22902098,18.4375,,21.1,17.83866771,20.1,16.0952381,18.09761905,20.66666667
main_Striatum_ACBc,16.27290982,16.72727273,15.84556932,16.28642103,17.06349206,16.02880658,17.41554054,18,17.19037734,17.32743363,17.27819919,18.00589971,16.27572016,17.53384116,16.90478066,15.7489857
main_Striatum_ACBsh,14.98031483,16.54260456,15.91030123,16.2264529,16.96603774,15.44554455,16.82491582,16.4173913,16.66183841,16.79971786,15.91987179,17.69381107,16.43558573,17.54121864,16.98840219,15.00383142
main_Striatum_CP,17.22989942,17.13731343,16.71554252,16.92642798,17.50887698,17.0911295,17.86402266,18.10439103,18.12133979,17.70928121,18.24358974,18.65271719,17.04453768,18.07406745,17.55930257,16.88715101
main_Striatum_FS,14.79802956,14.93356643,14.25,14.59178322,15.13636364,14.77586207,16.15816327,15.38611724,15.07037872,15.02380952,16.25,15.6635514,15.69759399,16.08796225,15.89277812,15.07537688
main_Striatum_isl,14.80298888,17.54249908,17.84920635,17.69585271,15.96402878,17.83798883,16.66629956,16.10714286,16.84992034,16.77094972,17.11261555,19.48387097,18.39463478,18.985,18.68981739,16.85320221
main_Striatum_OT1,14.85167943,16.88508454,16.73913043,16.81210749,15.39285714,16.19852941,17.15780906,16.89413501,16.91362126,17.27329193,17.65335917,18.69764418,17.55658069,17.88938053,17.72298061,16.15822819
main_Striatum_OT2,14.49425287,16.42900302,15.70162539,16.0653142,15.73824354,15.98449612,16.26898734,15.43911439,16.22569444,16.52317881,17.51655773,18,16.34913218,17.4084507,16.87879144,15.37591082
main_Striatum_OT3,14.54100614,16.74725275,16.02692308,16.38708791,15.68217453,15.80276058,16.39025828,15.6473581,16.45863103,17.01158301,17.05847953,18.05381166,16.5395189,17.56040268,17.04996079,15.63815789
main_Thalamus_LD,15.69698181,14.81909548,14.9217403,14.87041789,14.79436455,14.69268293,15.59800664,15.66281513,15.16350211,15.09338521,14.86206897,15.78649147,15.36065574,15.71003717,15.53534646,15.11290323
main_Thalamus_LP,14.76020408,14.72112897,15.07526882,14.89819889,14.91319902,14.1047619,15.11013216,15.47368421,15.189846,15.01069224,15.18932039,16.20228028,14.50451287,15.42647059,14.96549173,14.68846342
main_Thalamus_PO,14.39090909,13.80156088,14.19294476,13.99725282,13.90234375,14.32631579,14.71837235,14.36538462,14.1662234,14.5871739,14.78411957,15.002849,14.41382156,14.67431193,14.54406674,14.38497653
main_Thalamus_RT,13.38461538,13.23214286,13.11764706,13.17489496,13.5,14.27868852,14.07563025,14.04081633,14.74486301,14.48219522,14.72231041,16.17073171,15.78651685,14.4129703,15.09974358,15.710047
